drop wlr
Sleep
watch luka doncic in person
be gamer
See family
D&D all nighter in person
eat a hot dog
go to a rager
Travel to Japan!
"Probably hang out with friends, play ultimate, go camping maybe."
Either celebrating my friend's 18th birthday or going to Canada with my father.
go to a movie theatre
Play indoor pick up basketball
go and see my old family people
Travel
go to a concert!
I will most likely go to a blazers game because I miss sports.
hug my friends!
travel
Go to Disneyland!
concert
hit the club
Travel and spend time with friends that I didn't see while trying to keep distance
Largest country/ redneck party ever
visit grandparents
Travel
